area,year,production_total,food_supply,net_trade,import_dependency
Ireland,2021,2541990.0,475.015,-1372719.8899999997,0.4156720409419201
Israel,2021,903844.0,633.145,-4051789.01,0.8240756122724158
Italy,2021,18493810.0,560.72,-17731872.57,0.4964179302130743
Jamaica,2021,83605.0,477.245,-499973.65,0.857059882582742
Japan,2021,14369685.45,2500.0,-25956925.900000002,0.6436706611826832
Jordan,2021,336394.0,555.595,-2531459.93,0.8868148442005123
Kazakhstan,2021,19262126.98,541.725,5339978.99,0.08341761006678304
Kenya,2021,7975986.300000001,501.415,-2343685.55,0.2349582194820566
Kiribati,2021,7376.27,492.935,-2061.4000000000005,0.218422555567211
Kuwait,2021,48555.0,695.1800000000001,-1298919.6300000001,0.9640153834069186
Kyrgyzstan,2021,2674782.0,565.085,-221452.61000000002,0.09507845422851459
Land Locked Developing Countries (LLDCs),2021,161083877.62,700.595,1690083.4200000018,0.10285787505980981
Lao People's Democratic Republic,2021,4932758.52,875.8000000000001,286944.13,0.03794784874032822
Latvia,2021,2738600.0,431.15999999999997,1727297.0299999998,0.2359750485955551
Least Developed Countries (LDCs),2021,256650406.14000002,658.17,-26874645.42,0.1096438742940618
Lebanon,2021,762877.0,581.95,-1429007.8599999999,0.6693946468148858
Lesotho,2021,223914.40000000002,563.745,-43552.340000000004,0.1654645756345341
Liberia,2021,401117.91,552.21,-40598.75,0.09191221956514203
Libya,2021,532342.0,661.4499999999999,-2971204.12,0.8480780862803412
Lithuania,2021,5056330.0,519.1899999999999,3244601.26,0.06343353708301082
Low Income Food Deficit Countries (LIFDCs),2021,162169591.26999998,604.225,-26428906.950000003,0.1535763916576866
Luxembourg,2021,122180.0,502.45500000000004,-85675.25999999998,0.5898206222264717
Macao,2021,0.0,464.89500000000004,-15737.73,1.0
Madagascar,2021,5451104.64,619.9150000000001,-155864.74,0.028140797434338106
Malawi,2021,7306531.0,700.29,-75236.25,0.017487024294690862
Malaysia,2021,2772323.99,564.925,-5785328.7700000005,0.6802292650167803
Maldives,2021,305.01,568.005,-9421.36,0.9686409215359892
Mali,2021,6779194.0,2500.0,168663.91000000003,0.04813535818115332
Malta,2021,7120.0,586.56,-89249.51,0.9271843965161415
Marshall Islands,2021,0.0,561.87,-126.83,1.0
Mauritania,2021,451262.87,801.295,-722975.64,0.6156974361196857
Mauritius,2021,23654.0,667.0550000000001,-284173.29999999993,0.9231789308003707
Melanesia,2021,1333641.47,320.78000000000003,-437035.74,0.24695821317775032
Mexico,2021,36726468.56,682.7900000000001,-27374238.049999997,0.44169789050762776
Micronesia,2021,9690.179999999998,447.01000000000005,-2346.83,0.194967853312409
Micronesia (Federated States of),2021,2313.9,365.14500000000004,0.0,0.0
Mongolia,2021,760598.4500000001,543.945,-243323.52999999997,0.24237295569150744
Montenegro,2021,33105.0,637.155,-82411.81,0.7177123177707451
Morocco,2021,12427323.3,997.5350000000001,-7268715.34,0.37037415286095576
Mozambique,2021,3043188.0,534.53,-806202.86,0.26049109854203467
Myanmar,2021,30589578.0,911.7850000000001,789571.8999999999,0.015808637255596333
Namibia,2021,104211.59000000001,529.01,-241847.25999999995,0.7480127562938481
Nauru,2021,0.0,336.13,-74.52,1.0
Nepal,2021,13959284.0,902.47,-2099301.5599999996,0.13072777984410383
Net Food Importing Developing Countries (NFIDCs),2021,399901128.36,665.405,-81660632.52,0.1838329824862325
Netherlands (Kingdom of the),2021,7990850.0,427.97,-16336836.439999998,0.7357880335816267
New Caledonia,2021,11814.1,532.835,-35412.41,0.7498417731905238
New Zealand,2021,1514626.19,477.775,-641830.52,0.34521836840559383
Nicaragua,2021,1059320.0,678.15,-601209.53,0.42347056698925656
Niger,2021,484676.62,703.065,-24334.269999999997,0.11580675379269609
Nigeria,2021,30903266.96,504.095,-6602001.140000001,0.1762434578620528
Niue,2021,81.84,2500.0,-6.1499999999999995,0.0702113156100886
North Macedonia,2021,733506.0,653.6500000000001,-92847.97,0.1685741791766136
Northern America,2021,634983095.48,442.48,168601635.42000002,0.022466257281116883
Norway,2021,1245600.0,535.595,-1010504.56,0.4481331195425141
Oman,2021,52154.0,467.045,-3325302.4,0.9849199025309984
Pakistan,2021,57121005.0,585.7049999999999,-3942550.8500000006,0.0809688360778181
Palestine,2021,121453.0,2500.0,-138122.43,0.5341960139899592
Panama,2021,988580.85,580.24,-355555.33999999997,0.4871432796082599
Papua New Guinea,2021,1281075.79,290.96999999999997,-253069.67,0.16507997363294757
Paraguay,2021,16869218.0,623.13,8534220.25,0.009340161921078893
Peru,2021,13585655.229999999,544.8449999999999,-5812797.17,0.30779465523542143
Philippines,2021,34293041.5,877.4,-4656769.26,0.1712861823822236
Poland,2021,29312200.0,558.1,4621031.119999999,0.0644557082339074
Polynesia,2021,23428.69,502.62,-7634.09,0.24767828500875833
Portugal,2021,1495270.0,514.63,-5527384.34,0.7976635107743122
Puerto Rico,2021,103695.87,2500.0,0.0,0.0
Qatar,2021,3666.0,728.85,-512423.65,0.9929029292240067
Republic of Korea,2021,6086699.0,627.27,-17788994.929999996,0.7450834504162595
Republic of Moldova,2021,5840267.0,527.87,1770995.5899999999,0.010700673500452049
Romania,2021,31859560.0,661.995,14599757.71,0.09228911826326489
Russia,2021,149082933.8,615.845,31284339.66,0.028183206227153423
Rwanda,2021,3737127.0,310.015,-232346.38,0.06291544414972015
Saint Kitts and Nevis,2021,0.0,409.02000000000004,-676.1500000000001,1.0
Saint Lucia,2021,6009.0,457.32,-39258.7,0.8751229235990866
Saint Vincent and the Grenadines,2021,58884.28,380.465,-38651.5,0.40665561481850504
Samoa,2021,21872.93,530.11,-1301.51,0.05659906172862936
Sao Tome and Principe,2021,6820.74,539.6899999999999,-523.33,0.0712588523802197
Saudi Arabia,2021,1276704.0,871.26,-11522168.65,0.9002968230108976
Senegal,2021,2315880.76,801.85,-1283914.9699999997,0.3586876523030827
Serbia,2021,11784926.72,935.8950000000001,3530987.7399999993,0.01760504715768507
Seychelles,2021,2013.95,586.1450000000001,-10987.01,0.8450922085753667
Sierra Leone,2021,2001449.8199999998,626.17,-66251.92000000001,0.0326495230497003
Singapore,2021,0.0,2500.0,-377665.13,1.0
Slovakia,2021,4687680.0,430.155,1803397.6699999997,0.0954792864461372
Slovenia,2021,732400.0,587.695,4150.229999999981,0.6431396891730126
Small Island Developing States (SIDS),2021,7408432.4799999995,480.365,-5124841.9399999995,0.433806665187038
Solomon Islands,2021,3078.5099999999998,369.015,-17006.73,0.846727898966705
Somalia,2021,75570.02,2500.0,-17843.979999999996,0.6042186706715795
South America,2021,466470710.01,497.22499999999997,143353761.6,0.07778303127843025
South Sudan,2021,254344.69,2500.0,-30398.98,0.1085737751824842
Spain,2021,26318730.0,427.59000000000003,-17353093.28,0.4178096510580034
Sri Lanka,2021,5701744.3,894.255,-1426843.0000000002,0.20121211229016983
Sudan,2021,2310164.69,2500.0,-1862799.68,0.45146971393867436
Suriname,2021,271726.0,539.6800000000001,-16848.130000000005,0.12442832283585645
Sweden,2021,4929100.0,476.21000000000004,605886.03,0.0774420065261091
Switzerland,2021,1088170.0,427.4,-808310.12,0.4294085418427977
Syrian Arab Republic,2021,3117175.5300000003,650.42,-379991.77999999997,0.13201898074315027
Taiwan,2021,2177507.0,473.295,-8265933.490000001,0.7915579387151468
Tajikistan,2021,2517420.83,751.525,-1154500.49,0.31463487859147554
Thailand,2021,38631974.22,708.9649999999999,-9126308.42,0.197268063769991
Timor-Leste,2021,104172.1,678.635,-4928.299999999999,0.045172153355991354
Togo,2021,1327283.9100000001,2500.0,-104696.00000000001,0.11824584187221245
Tonga,2021,814.72,447.91,-449.52,0.3885549176329318
Trinidad and Tobago,2021,3675.9,589.49,-235837.61999999997,0.9849767773321685
Tunisia,2021,2079540.83,904.115,-4544943.23,0.6861856828435664
Turkmenistan,2021,2123083.83,665.5350000000001,-280832.68,0.12956768789614123
Tuvalu,2021,288.94,549.985,-54.77,0.15934945157254665
TÃ¼rkiye,2021,39730455.0,787.52,-16073106.260000002,0.3055581969221087
Uganda,2021,4789900.0,410.425,-799349.35,0.16333173018640093
Ukraine,2021,125021580.0,559.0,49830930.75,0.005568436645244346
United Arab Emirates,2021,25588.84,601.645,-2732230.02,0.9913761830220978
United Kingdom of Great Britain and Northern Ireland,2021,26076386.91,513.1800000000001,-5044531.599999999,0.19944766718090692
United Republic of Tanzania,2021,16344315.54,531.9399999999999,-92823.52000000002,0.04251708442787431
United States of America,2021,578650415.48,440.34,141318936.27,0.01602931110857176
Uruguay,2021,5713821.0,555.285,2660180.51,0.040643452970795774
Uzbekistan,2021,10359306.0,745.205,-3673198.44,0.263581688242093
Vanuatu,2021,18281.73,523.285,-313.79,0.01687555187964426
Venezuela (Bolivarian Republic of),2021,4247058.0,550.8000000000001,-1720974.9500000002,0.29310367320452346
Vietnam,2021,51030134.28,878.02,-17073850.33,0.2628524154598461
Yemen,2021,731472.92,626.39,-3740350.0000000005,0.8385149340968073
Zambia,2021,4454541.6899999995,479.2,79578.72,0.017204993210261695
Zimbabwe,2021,2677296.23,525.16,-593287.9700000001,0.18445748380157506
